2,4.0026,Helium,He,1895,18
5,10.811,Boron,B,1808,13
6,12.0107,Carbon,C,ancient,14
7,14.0067,Nitrogen,N,1772,15
8,15.9994,Oxygen,O,1774,16
9,18.9984,Fluorine,F,1886,17
10,20.1797,Neon,Ne,1898,18
13,26.9815,Aluminum,Al,1825,13
14,28.0855,Silicon,Si,1824,14
15,30.9738,Phosphorus,P,1669,15
16,32.065,Sulfur,S,ancient,16
17,35.453,Chlorine,Cl,1774,17
18,39.948,Argon,Ar,1894,18
31,69.723,Gallium,Ga,1875,13
32,72.64,Germanium,Ge,1886,14
33,74.9216,Arsenic,As,ancient,15
34,78.96,Selenium,Se,1817,16
35,79.904,Bromine,Br,1826,17
36,83.8,Krypton,Kr,1898,18
49,114.818,Indium,In,1863,13
50,118.71,Tin,Sn,ancient,14
51,121.76,Antimony,Sb,ancient,15
52,127.6,Tellurium,Te,1783,16
53,126.9045,Iodine,I,1811,17
54,131.293,Xenon,Xe,1898,18
81,204.3833,Thallium,Tl,1861,13
82,207.2,Lead,Pb,ancient,14
83,208.9804,Bismuth,Bi,ancient,15
84,209,Polonium,Po,1898,16
85,210,Astatine,At,1940,17
86,222,Radon,Rn,1900,18
113,286,Ununtrium,Uut,1998,13
114,289,Flerovium,Fl,1999,14
115,288,Ununpentium,Uup,2004,15
116,293,Livermorium,Lv,2000,16
117,294,Ununseptium,Uus,2010,17
118,294,Ununoctium,Uuo,1999,18
